sitename,precision,recall,f1,mcc,tp,tn,fp,fn
average,0.1560,0.5432,0.2387,0.2594,,,,
陽明,0.1203,0.6494,0.2030,0.2528,100.0000,7772.0000,731.0000,54.0000
萬里,0.1215,0.4068,0.1871,0.2034,48.0000,8192.0000,347.0000,70.0000
淡水,0.1610,0.5961,0.2535,0.2722,152.0000,7610.0000,792.0000,103.0000
基隆,0.1272,0.4715,0.2003,0.2251,58.0000,8136.0000,398.0000,65.0000
士林,0.1737,0.6600,0.2750,0.3110,132.0000,7829.0000,628.0000,68.0000
林口,0.2205,0.5914,0.3213,0.3095,249.0000,7356.0000,880.0000,172.0000
三重,0.0242,0.2143,0.0435,0.0634,6.0000,8387.0000,242.0000,22.0000
中山,0.2521,0.6851,0.3685,0.3608,335.0000,7174.0000,994.0000,154.0000
菜寮,0.2169,0.6459,0.3248,0.3311,228.0000,7481.0000,823.0000,125.0000
大園,0.1020,0.4921,0.1689,0.2006,62.0000,7985.0000,546.0000,64.0000
汐止,0.1360,0.5245,0.2159,0.2343,107.0000,7773.0000,680.0000,97.0000
大同,0.2077,0.6073,0.3095,0.3066,232.0000,7390.0000,885.0000,150.0000
松山,0.2894,0.6320,0.3970,0.3867,261.0000,7603.0000,641.0000,152.0000
萬華,0.1957,0.6026,0.2955,0.3244,91.0000,8132.0000,374.0000,60.0000
觀音,0.0404,0.3000,0.0711,0.1021,9.0000,8413.0000,214.0000,21.0000
新莊,0.0876,0.4314,0.1457,0.1846,22.0000,8377.0000,229.0000,29.0000
古亭,0.1150,0.3622,0.1746,0.1837,46.0000,8176.0000,354.0000,81.0000
永和,0.1169,0.3950,0.1804,0.1955,47.0000,8183.0000,355.0000,72.0000
板橋,0.1499,0.6322,0.2423,0.2814,110.0000,7859.0000,624.0000,64.0000
桃園,0.2270,0.6683,0.3389,0.3404,274.0000,7314.0000,933.0000,136.0000
土城,0.0825,0.4444,0.1391,0.1769,32.0000,8229.0000,356.0000,40.0000
新店,0.1642,0.5785,0.2558,0.2540,210.0000,7225.0000,1069.0000,153.0000
平鎮,0.0314,0.1935,0.0541,0.0700,6.0000,8441.0000,185.0000,25.0000
中壢,0.1849,0.4753,0.2662,0.2620,125.0000,7843.0000,551.0000,138.0000
湖口,0.1705,0.5600,0.2615,0.2700,154.0000,7633.0000,749.0000,121.0000
龍潭,0.2704,0.7431,0.3965,0.4114,269.0000,7569.0000,726.0000,93.0000
新竹,0.2027,0.5233,0.2922,0.2935,135.0000,7868.0000,531.0000,123.0000
竹東,0.1490,0.5683,0.2361,0.2632,104.0000,7880.0000,594.0000,79.0000
宜蘭,0.1533,0.5865,0.2430,0.2686,122.0000,7775.0000,674.0000,86.0000
頭份,0.2550,0.6933,0.3728,0.3694,321.0000,7256.0000,938.0000,142.0000
冬山,0.1447,0.7175,0.2408,0.2873,160.0000,7488.0000,946.0000,63.0000
苗栗,0.0784,0.5175,0.1361,0.1765,59.0000,7849.0000,694.0000,55.0000
三義,0.2807,0.6259,0.3876,0.3776,256.0000,7592.0000,656.0000,153.0000
豐原,0.1217,0.3478,0.1803,0.1917,32.0000,8334.0000,231.0000,60.0000
沙鹿,0.1828,0.7063,0.2904,0.3067,267.0000,7085.0000,1194.0000,111.0000
西屯,0.2520,0.5495,0.3455,0.3405,161.0000,7886.0000,478.0000,132.0000
忠明,0.0965,0.5146,0.1626,0.2031,53.0000,8058.0000,496.0000,50.0000
線西,0.1787,0.5532,0.2701,0.3020,52.0000,8324.0000,239.0000,42.0000
大里,0.1566,0.5853,0.2471,0.2640,151.0000,7586.0000,813.0000,107.0000
彰化,0.1030,0.5221,0.1720,0.2109,59.0000,8030.0000,514.0000,54.0000
花蓮,0.1580,0.4754,0.2372,0.2569,58.0000,8226.0000,309.0000,64.0000
埔里,0.2457,0.5972,0.3482,0.3755,43.0000,8453.0000,132.0000,29.0000
二林,0.2334,0.5930,0.3350,0.3322,204.0000,7643.0000,670.0000,140.0000
南投,0.1510,0.6063,0.2418,0.2837,77.0000,8097.0000,433.0000,50.0000
麥寮,0.2454,0.7386,0.3684,0.3630,404.0000,6868.0000,1242.0000,143.0000
竹山,0.2738,0.7245,0.3975,0.3760,468.0000,6770.0000,1241.0000,178.0000
崙背,0.1217,0.3846,0.1849,0.1937,55.0000,8117.0000,397.0000,88.0000
臺西,0.1163,0.4516,0.1850,0.2137,42.0000,8245.0000,319.0000,51.0000
斗六,0.1475,0.6102,0.2376,0.2823,72.0000,8123.0000,416.0000,46.0000
新港,0.0843,0.3056,0.1321,0.1475,22.0000,8346.0000,239.0000,50.0000
嘉義,0.1443,0.6102,0.2334,0.2787,72.0000,8112.0000,427.0000,46.0000
朴子,0.1700,0.4008,0.2387,0.2268,103.0000,7897.0000,503.0000,154.0000
新營,0.2664,0.5251,0.3535,0.3344,199.0000,7730.0000,548.0000,180.0000
善化,0.0490,0.3962,0.0871,0.1254,21.0000,8196.0000,408.0000,32.0000
關山,0.1624,0.7280,0.2655,0.3074,182.0000,7468.0000,939.0000,68.0000
安南,0.1411,0.5091,0.2209,0.2512,56.0000,8206.0000,341.0000,54.0000
臺南,0.1878,0.5895,0.2848,0.2808,224.0000,7308.0000,969.0000,156.0000
美濃,0.1063,0.4958,0.1751,0.2081,59.0000,8042.0000,496.0000,60.0000
臺東,0.1841,0.6549,0.2874,0.3129,167.0000,7662.0000,740.0000,88.0000
橋頭,0.0480,0.3509,0.0844,0.1151,20.0000,8203.0000,397.0000,37.0000
楠梓,0.0976,0.4952,0.1630,0.1999,52.0000,8071.0000,481.0000,53.0000
仁武,0.2123,0.6716,0.3226,0.3618,90.0000,8189.0000,334.0000,44.0000
屏東,0.1429,0.4563,0.2176,0.2401,47.0000,8272.0000,282.0000,56.0000
左營,0.1329,0.3725,0.1959,0.2150,19.0000,8482.0000,124.0000,32.0000
前金,0.1692,0.6348,0.2671,0.3028,113.0000,7924.0000,555.0000,65.0000
鳳山,0.1513,0.6842,0.2478,0.2900,143.0000,7646.0000,802.0000,66.0000
前鎮,0.0889,0.5833,0.1542,0.2055,63.0000,7903.0000,646.0000,45.0000
復興,0.0905,0.6667,0.1594,0.2191,86.0000,7664.0000,864.0000,43.0000
小港,0.1017,0.4932,0.1686,0.2106,36.0000,8266.0000,318.0000,37.0000
大寮,0.0930,0.4868,0.1561,0.1981,37.0000,8220.0000,361.0000,39.0000
潮州,0.2313,0.6610,0.3427,0.3349,310.0000,7158.0000,1030.0000,159.0000
林園,0.1655,0.6276,0.2620,0.2944,123.0000,7841.0000,620.0000,73.0000
恆春,0.1283,0.4964,0.2038,0.2298,69.0000,8049.0000,469.0000,70.0000
